YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,D-J-F,M-A-M,J-J-A,S-O-N,metANN
1949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.17,12.70,NA,NA,NA,NA,NA
1950,15.28,14.84,12.66,8.63,6.44,2.28,2.71,3.03,7.64,11.09,12.88,13.91,14.27,9.24,2.67,10.54,9.18
1951,15.38,15.04,13.57,8.73,3.62,0.05,1.37,2.22,7.63,9.26,11.20,12.35,14.78,8.64,1.21,9.36,8.50
1952,13.66,15.22,13.11,9.21,5.64,1.73,1.00,4.48,7.81,10.74,11.18,15.22,13.74,9.32,2.40,9.91,8.84
1953,15.22,14.73,13.15,9.74,5.63,1.61,1.53,4.30,6.96,9.20,12.78,14.43,15.06,9.51,2.48,9.65,9.17
1954,16.34,16.64,13.61,8.51,6.38,4.43,1.56,3.35,7.13,9.82,14.15,15.08,15.80,9.50,3.11,10.37,9.70
1955,16.54,15.44,13.41,11.12,6.69,2.27,0.25,4.66,8.55,11.39,11.71,16.11,15.69,10.41,2.39,10.55,9.76
1956,18.58,15.54,12.94,11.77,5.06,3.06,2.57,NA,7.75,9.95,11.52,13.89,16.74,9.92,3.45,9.74,9.96
1957,15.82,16.27,13.94,9.88,6.22,4.29,1.47,4.30,7.60,8.33,10.52,11.91,15.33,10.01,3.35,8.82,9.38
1958,14.00,16.16,13.70,8.50,5.41,3.74,-0.64,3.46,6.39,10.90,13.81,14.01,14.02,9.20,2.19,10.37,8.95
1959,17.52,15.00,13.09,10.06,2.76,2.90,2.59,3.69,7.69,7.71,12.53,14.71,15.51,8.64,3.06,9.31,9.13
1960,16.25,15.04,11.30,9.13,5.28,2.35,2.82,3.94,6.80,10.91,11.71,14.14,15.33,8.57,3.04,9.81,9.19
1961,16.15,15.47,11.68,9.01,5.21,2.06,1.84,3.40,5.41,12.46,12.47,16.47,15.25,8.63,2.43,10.11,9.11
1962,17.02,15.14,13.73,8.64,7.34,3.46,2.42,4.35,6.74,10.43,12.21,14.55,16.21,9.90,3.41,9.79,9.83
1963,17.22,15.63,12.31,7.95,5.46,0.23,0.28,3.04,6.68,11.67,10.76,13.41,15.80,8.57,1.18,9.70,8.82
1964,14.14,15.80,13.02,9.85,4.56,1.56,2.52,3.85,6.92,9.42,11.00,15.31,14.45,9.14,2.64,9.11,8.84
1965,15.15,14.20,12.59,9.28,4.64,3.34,-0.12,3.07,7.80,8.73,10.68,14.22,14.89,8.84,2.10,9.07,8.72
